Chembl ID;Smiles;IC50;pIC50;MolWt;nHA;nHD;MolLogP;category
CHEMBL18264;CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)OC2)cc1;230.0;-2.361727836017593;350.3420000000001;4;0;2.8359000000000005;active
CHEMBL296984;NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccc2)cc1;39.81;-1.599992177584098;367.35200000000003;4;1;3.2055000000000016;active
CHEMBL69667;CS(=O)(=O)c1ccc(-c2coc(=O)n2-c2ccc(Cl)cc2)cc1;320.0;-2.505149978319906;349.7950000000001;5;0;3.1544000000000016;active
CHEMBL43366;Cc1c(C#N)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1;750.0;-2.8750612633917;354.406;4;0;3.8670000000000027;active
CHEMBL1288555;O=C(O)C1=Cc2cc(Cl)cc(Cl)c2OC1C(F)(F)F;18.0;-1.255272505103306;313.058;2;1;3.784700000000001;active
CHEMBL1288618;C=Cc1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2;18.0;-1.255272505103306;304.651;2;1;3.774300000000001;active
CHEMBL507398;NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccnc(Cl)c2)cc1;730.0;-2.863322860120456;402.7850000000001;5;1;3.2539000000000016;active
CHEMBL71423;Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)occ(Cl)c2=O)cc1;1760759.34;-6.245700000798404;374.8450000000001;4;0;4.339120000000003;inactive
CHEMBL119418;CCCCCNC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2;250.0;-2.3979400086720375;317.4730000000001;2;1;4.574100000000004;active
CHEMBL184281;COc1ccc(Sc2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1;4800.0;-3.681241237375587;347.46100000000007;4;1;4.039620000000002;intermediate
CHEMBL153;Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2;13100.0;-4.117271295655764;250.29399999999995;3;2;2.48576;intermediate
CHEMBL595838;NS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)NC2=O)cc1;15620.0;-4.193681029541281;328.34900000000005;4;2;0.9012000000000001;intermediate
CHEMBL232615;C[C@@]1(CO)C=Cc2cc(O)ccc2O1;630.0;-2.7993405494535817;192.214;3;2;1.5488;active
CHEMBL1288468;Cc1ccc2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2;250.0;-2.3979400086720375;258.195;2;1;2.78632;active
CHEMBL1290563;O=C(O)C1=Cc2cc(C(F)(F)F)ccc2OC1C(F)(F)F;41.0;-1.6127838567197355;312.16499999999996;2;1;3.4967000000000006;active
CHEMBL1210017;N.NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(/[N+]([O-])=N\O)cc2)cc1;6100.0;-3.785329835010767;444.3950000000001;7;3;3.3507000000000016;intermediate
CHEMBL290739;CS(=O)(=O)Nc1cc2c(cc1Sc1ncc(Cl)cc1Cl)C(=O)CC2;360.0;-2.5563025007672873;403.3120000000002;5;1;4.040000000000002;active
CHEMBL350039;CS(=O)(=O)c1ccc(-c2cnn(-c3ccccc3)c(=O)c2-c2ccccc2)cc1;4700.0;-3.6720978579357175;402.47500000000014;5;0;3.9700000000000033;intermediate
CHEMBL3234234;CCOC(=O)/C(=C/c1cccc(Cl)c1)CSc1nc(C)cc(C)n1;5880.0;-3.7693773260761385;362.8820000000001;5;0;4.485640000000004;intermediate
CHEMBL1775097;c1cnc(Oc2ccc(OCCN3CCCC3)cc2)cn1;61600.0;-4.789580712164425;285.3469999999999;5;0;2.743500000000001;intermediate
CHEMBL4169332;[N-]=[N+]=NCCOc1nc(Cl)nc(Nc2ccc(N3CCOCC3=O)cc2)n1;75000.0;-4.8750612633917;390.7910000000002;8;1;2.3209;intermediate
CHEMBL4167707;O=C(NCCOc1nc(Cl)nc(Nc2ccc(N3CCOCC3=O)cc2)n1)c1ccccc1F;70000.0;-4.845098040014257;486.8910000000003;8;2;2.5797000000000008;intermediate
CHEMBL321182;Cc1cc(F)ccc1C1=C(c2ccc(S(C)(=O)=O)cc2)CCC1;75.0;-1.8750612633917;330.42400000000015;2;0;4.6323200000000035;active
CHEMBL24288;COC[C@H](C)NC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12;240.0;-2.380211241711606;428.91600000000017;5;1;3.993820000000003;active
CHEMBL292948;CNS(=O)(=O)c1ccc(-c2ccsc2-c2ccc(F)cc2)cc1;7200.0;-3.8573324964312685;347.43600000000004;3;1;4.129300000000002;intermediate
CHEMBL19286;C[C@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1;2000.0;-3.3010299956639813;248.32199999999995;2;2;2.5782000000000007;intermediate
CHEMBL224192;CS(=O)(=O)Nc1ccncc1Oc1cccc(Cl)c1;1990.0;-3.2988530764097064;298.75100000000003;4;1;2.8988000000000014;intermediate
CHEMBL1288696;Cc1c(Cl)cc2c(c1C)O[C@@H](C(F)(F)F)C(C(=O)O)=C2;100000.0;-5.0;306.667;2;1;3.748140000000001;intermediate
CHEMBL126392;Cc1cc(=O)c(-c2ccccc2F)c(-c2ccc(S(C)(=O)=O)cc2)o1;1530.0;-3.184691430817599;358.3900000000001;4;0;3.8248200000000026;active
CHEMBL1084;CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2O)cc1;8700.0;-3.9395192526186187;330.36100000000005;5;1;1.8760999999999999;intermediate
CHEMBL418574;NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccccc2F)cc1;58.0;-1.7634279935629373;385.34200000000004;4;1;3.3446000000000016;active
CHEMBL70588;Cc1ccc(-n2c(-c3ccc(S(N)(=O)=O)cc3)coc2=O)cc1;790.68;-2.898000753595161;330.36500000000007;5;1;2.0533200000000003;active
CHEMBL2158359;COc1ccc(NC(=O)C(C)Oc2cc(=O)oc3ccccc23)cc1;38710.0;-4.587823171318955;339.34700000000004;5;1;3.207600000000001;intermediate
CHEMBL358122;COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(C)(=O)=O)c(CO)c2)cc1;3200.0;-3.505149978319906;426.41600000000017;6;1;3.462500000000002;intermediate
CHEMBL3127306;COc1c(-c2cc(C)nn2-c2ccc(S(N)(=O)=O)cc2)c(O)cc2occc12;7500.0;-3.8750612633917;399.4280000000001;7;2;2.955520000000001;intermediate
CHEMBL296515;CS(=O)(=O)c1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1;5700.0;-3.7558748556724915;444.45600000000013;6;0;3.3651000000000018;intermediate
CHEMBL2018668;CCn1c(Cn2nc(Cc3ccccc3)c3onc(C)c3c2=O)n[nH]c1=S;6100.0;-3.785329835010767;382.4490000000001;8;1;2.6060100000000004;intermediate
CHEMBL112;CC(=O)Nc1ccc(O)cc1;141253.75;-5.149999986280424;151.165;2;2;1.3505999999999998;intermediate
CHEMBL466188;c1ccc(Nc2c(-c3ccccn3)nc3ccccn23)cc1;18500.0;-4.267171728403014;286.338;4;1;4.139900000000003;intermediate
CHEMBL2347676;CCS(=O)(=O)c1nc(-c2ccc(Cl)cc2)c(-c2ccc(S(C)(=O)=O)cc2)[nH]1;320.0;-2.505149978319906;424.93100000000015;5;1;3.5942000000000016;active
CHEMBL2347672;CCSc1nc(-c2ccc(F)cc2)c(-c2ccc(S(C)(=O)=O)cc2)[nH]1;80.0;-1.9030899869919435;376.47800000000007;4;1;4.398300000000003;active
CHEMBL18790;CC1(OCC(F)(F)F)OC(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1;400.0;-2.6020599913279625;444.40200000000016;5;0;3.991900000000003;active
CHEMBL183653;Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Sc1ccccn1;5200.0;-3.716003343634799;318.423;4;1;3.426020000000001;intermediate
CHEMBL94938;CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2cccnc2)cc1;900.0;-2.9542425094393248;344.82300000000004;4;0;3.8675000000000024;active
CHEMBL4177013;CS(=O)(=O)c1ccc(NC(=O)NNC(=S)Nc2c(F)cccc2F)cc1;6420.0;-3.807535028068853;400.4320000000001;4;4;2.3914;intermediate
CHEMBL4074351;N#Cc1c(N=Cc2cccnc2)c(C(=O)Nc2ccc(Cl)cc2)n2c1CCC2;680.0;-2.832508912706236;389.8460000000001;5;1;4.357280000000003;active
CHEMBL3765737;COC(=O)c1cc(/C=C/c2cc(O)cc(O)c2)ccc1O;1000.0;-3.0;286.283;5;3;2.760400000000001;active
CHEMBL322276;CC1(C)OC(=O)C(Oc2ccc3[nH]ccc3c2)=C1c1ccc(S(C)(=O)=O)cc1;240.0;-2.380211241711606;397.4520000000001;5;1;3.696900000000002;active
CHEMBL363756;Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Cc1ccccc1Cl;70.0;-1.845098040014257;333.84000000000003;2;1;4.124020000000003;active
CHEMBL237592;CCOC(=O)Cc1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2cccc(F)c2)c1C;2100.0;-3.322219294733919;415.4860000000001;5;0;4.100920000000004;intermediate
CHEMBL322045;CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC(CF)(CF)C2)cc1;51.29;-1.7100326990657535;380.43100000000015;2;0;4.859200000000004;active
CHEMBL271312;CC(Nc1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1)c1ccccc1;521.8;-2.717504074764202;421.44400000000013;5;1;4.739000000000003;active
CHEMBL272605;Cc1ccccc1CNc1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1;5720.0;-3.7573960287930244;421.44400000000013;5;1;4.486420000000003;intermediate
CHEMBL2347677;CSc1nc(-c2ccccc2)c(-c2ccc(S(C)(=O)=O)cc2)[nH]1;60.0;-1.7781512503836436;344.46100000000007;4;1;3.869100000000002;active
CHEMBL321898;CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccsc2)cc1;51000.0;-4.707570176097937;372.39300000000003;5;0;4.023100000000002;intermediate
CHEMBL348348;Cc1nc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)o1;2100.0;-3.322219294733919;331.368;4;0;3.859620000000003;intermediate
CHEMBL622;CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3;2000.0;-3.3010299956639813;287.35900000000004;2;2;3.383000000000002;intermediate
CHEMBL2333748;CCC(C)NC(=O)/C=C/c1c(/C=C/c2ccc(OC)cc2)cc(OC)cc1OC;4560.0;-3.658964842664435;395.49900000000014;4;1;4.810700000000004;intermediate
CHEMBL147607;NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)cc2)cc1CO;592.0;-2.77232170672292;476.2740000000001;5;2;3.4603000000000024;active
CHEMBL257300;CS(=O)(=O)c1ccc(-c2nc(NCc3ccc(O)cc3)cc(C(F)(F)F)n2)cc1;635.0;-2.8027737252919755;423.41600000000005;6;2;3.883600000000002;active
CHEMBL257678;Cc1c(NCc2ccc(F)cc2)nc(-c2ccc(S(C)(=O)=O)cc2)nc1C(F)(F)F;22.4;-1.3502480183341627;439.4340000000001;5;1;4.6255200000000025;active
