 ,Area,Mean,Min,Max,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
151,38.155,255.000,255,255,26.733,182.959,117.790,7.865,8.052,0.671,1.291,0.774,0.862
152,7.189,255.000,255,255,10.741,27.528,119.663,2.996,3.558,0.783,1.642,0.609,0.899
153,8.206,255.000,255,255,11.755,194.007,120.037,3.558,3.371,0.746,1.273,0.785,0.867
154,18.095,255.000,255,255,26.093,18.727,120.599,8.801,4.307,0.334,3.310,0.302,0.716
155,67.893,250.653,0,255,57.997,117.416,122.097,13.109,9.738,0.254,1.590,0.629,0.712
156,15.676,254.430,0,255,26.093,105.431,123.596,9.363,5.618,0.289,4.944,0.202,0.634
157,3.367,255.000,255,255,8.603,206.180,123.783,2.622,2.247,0.572,1.320,0.758,0.759
158,95.141,250.206,0,255,56.882,192.135,124.157,11.985,13.109,0.370,1.059,0.944,0.793
159,0.526,255.000,255,255,2.603,189.513,124.345,0.749,0.936,0.976,1.392,0.718,0.882
160,176.044,247.990,0,255,86.081,60.300,126.217,17.041,22.097,0.299,1.530,0.653,0.718
161,38.646,253.612,0,255,42.013,183.521,127.715,7.865,10.487,0.275,1.659,0.603,0.695
162,3.402,255.000,255,255,7.215,14.232,129.588,2.247,2.622,0.821,1.897,0.527,0.886
163,1.753,255.000,255,255,5.206,204.869,130.899,1.873,1.498,0.813,1.489,0.671,0.855
164,11.292,255.000,255,255,13.453,16.105,131.648,3.558,4.869,0.784,1.450,0.689,0.893
165,5.751,255.000,255,255,9.526,211.049,134.270,2.809,2.809,0.796,1.097,0.911,0.877
166,20.866,254.571,0,255,37.939,202.996,135.581,5.993,7.678,0.182,1.485,0.673,0.603
167,0.982,255.000,255,255,4.082,151.498,135.768,1.311,1.498,0.740,1.923,0.520,0.789
168,24.723,255.000,255,255,27.720,176.404,136.142,9.363,6.180,0.404,2.911,0.344,0.753
169,28.265,255.000,255,255,21.746,14.232,136.330,6.929,6.554,0.751,1.597,0.626,0.916
170,8.978,255.000,255,255,11.380,123.596,136.891,3.371,3.558,0.871,1.055,0.948,0.913
171,1.753,255.000,255,255,5.580,171.910,138.202,2.060,1.498,0.708,2.071,0.483,0.787
172,31.036,255.000,255,255,22.715,142.697,138.951,5.993,7.303,0.756,1.367,0.732,0.917
173,16.482,255.000,255,255,22.212,173.034,140.637,4.869,6.742,0.420,2.446,0.409,0.769
174,0.982,255.000,255,255,3.772,202.809,153.558,1.124,1.311,0.867,1.710,0.585,0.848
